paleo-spectral-ordering-pearson-bfp,square-filter,33.67,32.34,18.29,10.84,18.29,deleted-band,96.41,89.34,72.72,32.03,diletation-erosion,31.68,33.51,33.6,erosion-diletation,47.98,28.72,82.79,diletation-erosion-erosion-diletation,20.17,23.38,38.72,erosion-diletation-diletation-erosion,25.87,20.09,31.9
paleo-barycenter-bfp,square-filter,36.83,39.14,27.34,15.98,27.34,deleted-band,99.97,99.72,93.27,49.39,diletation-erosion,48.23,28.18,81.47,erosion-diletation,31.55,32.53,35.51,diletation-erosion-erosion-diletation,20.32,22.73,43.08,erosion-diletation-diletation-erosion,25.99,19.06,33.86
paleo-alternating,square-filter,37.27,40.1,30.32,21.11,30.32,deleted-band,97.99,94.97,87.45,48.52,diletation-erosion,49.54,31.04,82.96,erosion-diletation,32.62,35.02,37.4,diletation-erosion-erosion-diletation,21.66,25.13,43.27,erosion-diletation-diletation-erosion,27.22,21.35,35.72
paleo-barycenter,square-filter,34.12,30.06,15.1,4.71,15.1,deleted-band,100.0,99.94,98.67,64.18,diletation-erosion,33.84,20.93,28.82,erosion-diletation,74.97,21.56,45.29,diletation-erosion-erosion-diletation,42.43,17.4,21.39,erosion-diletation-diletation-erosion,31.69,10.05,25.05
paleo-barycenter-bfp-alternating,square-filter,37.26,38.87,27.29,17.67,27.29,deleted-band,99.24,97.43,89.85,46.48,diletation-erosion,35.98,33.44,32.0,erosion-diletation,82.68,29.1,48.32,diletation-erosion-erosion-diletation,41.96,23.42,20.62,erosion-diletation-diletation-erosion,34.35,20.06,26.31
zoo-spectral-ordering-pearson-bfp,square-filter,47.49,66.29,42.42,40.23,42.42,deleted-band,98.84,89.33,70.53,37.24,diletation-erosion,67.7,75.98,45.16,erosion-diletation,78.75,74.75,67.95,diletation-erosion-erosion-diletation,56.86,67.45,52.35,erosion-diletation-diletation-erosion,61.74,65.88,39.73
zoo-barycenter-bfp,square-filter,59.17,75.24,68.71,68.86,68.71,deleted-band,99.77,97.8,87.01,49.3,diletation-erosion,84.37,81.98,76.05,erosion-diletation,75.77,81.97,63.54,diletation-erosion-erosion-diletation,64.59,73.27,67.26,erosion-diletation-diletation-erosion,69.39,73.4,56.61
zoo-alternating,square-filter,60.11,76.52,68.44,69.06,68.44,deleted-band,99.42,94.78,76.68,46.75,diletation-erosion,83.12,80.97,74.16,erosion-diletation,73.75,81.75,65.79,diletation-erosion-erosion-diletation,61.84,74.92,68.78,erosion-diletation-diletation-erosion,66.77,73.64,59.51
zoo-barycenter,square-filter,58.4,71.79,65.94,62.65,65.94,deleted-band,100.0,99.42,86.31,50.35,diletation-erosion,60.83,74.51,69.11,erosion-diletation,73.49,75.0,80.11,diletation-erosion-erosion-diletation,66.27,65.52,58.91,erosion-diletation-diletation-erosion,55.75,65.15,63.53
zoo-barycenter-bfp-alternating,square-filter,55.68,74.01,61.9,62.54,61.9,deleted-band,100.0,95.48,72.16,32.95,diletation-erosion,52.05,80.86,72.34,erosion-diletation,77.79,79.75,83.37,diletation-erosion-erosion-diletation,63.17,71.44,59.22,erosion-diletation-diletation-erosion,47.0,71.43,65.07
