paleo-spectral-ordering-pearson-bfp,square-filter,80.32,139.04,373.69,793.48,373.69,deleted-band,3.72,11.93,37.52,212.18,diletation-erosion,69.01,139.99,72.35,erosion-diletation,52.14,106.98,17.32,diletation-erosion-erosion-diletation,81.51,149.03,65.04,erosion-diletation-diletation-erosion,74.36,185.0,74.09
paleo-barycenter-bfp,square-filter,73.06,101.61,217.22,493.91,217.22,deleted-band,0.03,0.28,7.21,102.46,diletation-erosion,51.79,107.88,18.57,erosion-diletation,69.01,145.99,72.12,diletation-erosion-erosion-diletation,81.46,149.61,60.7,erosion-diletation-diletation-erosion,74.18,193.43,73.48
paleo-alternating,square-filter,73.96,101.68,190.1,348.89,190.1,deleted-band,2.05,5.3,14.35,106.12,diletation-erosion,50.48,101.23,17.08,erosion-diletation,68.28,130.71,68.65,diletation-erosion-erosion-diletation,80.03,138.59,59.93,erosion-diletation-diletation-erosion,72.97,173.92,70.17
paleo-barycenter,square-filter,75.74,128.6,400.25,1692.54,400.25,deleted-band,0.0,0.06,1.35,55.81,diletation-erosion,72.91,226.89,72.17,erosion-diletation,25.09,121.33,54.73,diletation-erosion-erosion-diletation,60.4,168.28,79.96,erosion-diletation-diletation-erosion,74.62,277.33,75.22
paleo-barycenter-bfp-alternating,square-filter,72.92,105.31,217.1,431.73,217.1,deleted-band,0.77,2.64,11.3,115.15,diletation-erosion,70.56,139.99,68.68,erosion-diletation,17.39,105.79,51.73,diletation-erosion-erosion-diletation,61.6,146.72,81.17,erosion-diletation-diletation-erosion,72.09,184.7,73.89
zoo-spectral-ordering-pearson-bfp,square-filter,54.06,39.18,111.41,145.25,111.41,deleted-band,1.17,11.95,41.78,168.54,diletation-erosion,32.58,28.34,59.62,erosion-diletation,21.28,28.35,33.51,diletation-erosion-erosion-diletation,43.49,39.02,50.0,erosion-diletation-diletation-erosion,38.39,42.33,66.48
zoo-barycenter-bfp,square-filter,41.41,26.33,38.71,43.91,38.71,deleted-band,0.23,2.25,14.93,102.82,diletation-erosion,15.7,19.55,24.19,erosion-diletation,24.33,20.14,39.38,diletation-erosion-erosion-diletation,35.74,30.72,33.44,erosion-diletation-diletation-erosion,30.73,30.97,46.7
zoo-alternating,square-filter,40.4,24.82,40.13,43.59,40.13,deleted-band,0.58,5.51,30.41,113.9,diletation-erosion,16.96,20.72,26.4,erosion-diletation,26.43,20.58,36.12,diletation-erosion-erosion-diletation,38.53,28.69,32.24,erosion-diletation-diletation-erosion,33.49,30.93,43.11
zoo-barycenter,square-filter,42.0,29.76,42.54,56.85,42.54,deleted-band,0.0,0.58,15.86,98.62,diletation-erosion,44.01,30.06,31.24,erosion-diletation,26.77,27.94,19.96,diletation-erosion-erosion-diletation,34.65,41.45,41.74,erosion-diletation-diletation-erosion,49.36,42.79,36.74
zoo-barycenter-bfp-alternating,square-filter,44.88,27.4,50.81,58.71,50.81,deleted-band,0.0,4.74,38.59,203.52,diletation-erosion,56.1,21.59,27.75,erosion-diletation,22.74,22.32,16.72,diletation-erosion-erosion-diletation,39.12,33.57,41.48,erosion-diletation-diletation-erosion,62.52,33.73,35.06
healthcare-spectral-ordering-pearson-bfp,square-filter,11.97,6.82,9.62,7.04,9.62,deleted-band,5.46,24.77,90.27,382.47,diletation-erosion,13.48,12.75,7.24,erosion-diletation,8.8,10.85,6.79,diletation-erosion-erosion-diletation,20.59,17.16,8.95,erosion-diletation-diletation-erosion,17.77,17.16,10.58
healthcare-barycenter-bfp,square-filter,5.81,4.19,4.57,3.96,4.57,deleted-band,4.65,16.73,49.8,205.76,diletation-erosion,7.82,8.09,7.08,erosion-diletation,9.18,9.02,5.37,diletation-erosion-erosion-diletation,19.2,12.63,10.65,erosion-diletation-diletation-erosion,15.1,12.63,11.48
healthcare-alternating,square-filter,10.18,5.11,6.75,6.02,6.75,deleted-band,3.63,21.11,71.0,299.46,diletation-erosion,7.52,8.73,5.58,erosion-diletation,11.02,10.54,6.29,diletation-erosion-erosion-diletation,16.96,12.93,8.97,erosion-diletation-diletation-erosion,14.99,13.6,10.71
healthcare-barycenter,square-filter,6.46,4.42,5.45,4.61,5.45,deleted-band,4.65,16.46,47.13,213.5,diletation-erosion,5.38,9.67,9.76,erosion-diletation,8.39,8.72,7.82,diletation-erosion-erosion-diletation,10.73,12.74,18.03,erosion-diletation-diletation-erosion,11.25,12.81,14.91
healthcare-barycenter-bfp-alternating,square-filter,5.87,3.14,3.58,2.88,3.58,deleted-band,4.65,16.82,47.27,216.17,diletation-erosion,4.35,9.59,9.18,erosion-diletation,7.48,8.6,7.36,diletation-erosion-erosion-diletation,10.04,12.63,18.19,erosion-diletation-diletation-erosion,10.53,12.63,14.71
mushroom-spectral-ordering-pearson-bfp,square-filter,65.79,62.58,433.82,635.13,433.82,deleted-band,9.38,31.26,90.58,403.73,diletation-erosion,43.37,49.2,77.75,erosion-diletation,28.73,42.26,28.11,diletation-erosion-erosion-diletation,46.11,48.04,66.45,erosion-diletation-diletation-erosion,45.12,56.4,79.78
mushroom-barycenter-bfp,square-filter,51.03,32.29,71.51,91.33,71.51,deleted-band,1.19,7.06,40.84,230.19,diletation-erosion,15.32,19.35,28.01,erosion-diletation,23.59,20.36,61.87,diletation-erosion-erosion-diletation,26.49,25.5,43.39,erosion-diletation-diletation-erosion,25.37,27.58,64.91
mushroom-alternating,square-filter,51.15,29.55,76.74,87.42,76.74,deleted-band,5.28,24.04,80.2,364.39,diletation-erosion,12.68,16.39,27.83,erosion-diletation,20.97,15.78,61.31,diletation-erosion-erosion-diletation,23.43,20.88,44.54,erosion-diletation-diletation-erosion,22.8,21.75,64.59
mushroom-barycenter,square-filter,53.31,47.12,83.15,146.7,83.15,deleted-band,0.47,5.01,34.71,200.65,diletation-erosion,61.34,48.04,42.85,erosion-diletation,29.19,41.61,28.41,diletation-erosion-erosion-diletation,43.65,48.93,46.74,erosion-diletation-diletation-erosion,64.45,56.6,45.09
mushroom-barycenter-bfp-alternating,square-filter,49.64,26.24,66.85,77.07,66.85,deleted-band,10.5,33.17,109.17,481.03,diletation-erosion,56.65,16.15,20.23,erosion-diletation,22.58,15.71,12.46,diletation-erosion-erosion-diletation,43.02,21.78,22.79,erosion-diletation-diletation-erosion,60.08,22.99,22.01
